alpha,n_clients,partition_seed,class,fedavg_sgd,fednova_sgd,partition_id
0.3,15,101,Injection,0.0,0.0,0.3_15_101
0.3,15,101,Ip Spoofing,0.0,0.0,0.3_15_101
0.3,15,101,MITM,0.0,0.0,0.3_15_101
0.3,15,101,Manipulation,1.0,1.0,0.3_15_101
0.3,15,101,Regular,0.0,0.0,0.3_15_101
0.3,15,101,Replay,0.0,0.0,0.3_15_101
0.3,15,101,Unauth,0.0,1.0,0.3_15_101
0.3,15,101,Video,0.0,0.0,0.3_15_101
0.3,15,102,DoS,0.0,0.0,0.3_15_102
0.3,15,102,Injection,0.0,0.0,0.3_15_102
0.3,15,102,Ip Spoofing,1.0,0.0,0.3_15_102
0.3,15,102,MITM,0.0,0.0,0.3_15_102
0.3,15,102,Manipulation,0.0,0.0,0.3_15_102
0.3,15,102,Regular,0.0,0.0,0.3_15_102
0.3,15,102,Replay,0.0,1.0,0.3_15_102
0.3,15,102,Unauth,1.0,0.0,0.3_15_102
0.3,15,102,Video,1.0,0.0,0.3_15_102
0.3,15,103,DoS,0.0,0.0,0.3_15_103
0.3,15,103,Injection,1.0,1.0,0.3_15_103
0.3,15,103,Ip Spoofing,0.0,0.0,0.3_15_103
0.3,15,103,MITM,0.0,0.0,0.3_15_103
0.3,15,103,Manipulation,0.0,0.0,0.3_15_103
0.3,15,103,Regular,0.0,0.0,0.3_15_103
0.3,15,103,Replay,0.0,1.0,0.3_15_103
0.3,15,103,Unauth,0.0,0.0,0.3_15_103
0.3,15,103,Video,0.0,0.0,0.3_15_103
0.3,30,101,DoS,0.0,0.0,0.3_30_101
0.3,30,101,Injection,0.0,1.0,0.3_30_101
0.3,30,101,Ip Spoofing,1.0,0.0,0.3_30_101
0.3,30,101,MITM,0.0,0.0,0.3_30_101
0.3,30,101,Manipulation,1.0,1.0,0.3_30_101
0.3,30,101,Regular,0.0,0.0,0.3_30_101
0.3,30,101,Replay,0.0,1.0,0.3_30_101
0.3,30,101,Unauth,1.0,0.0,0.3_30_101
0.3,30,101,Video,1.0,0.0,0.3_30_101
0.3,30,102,DoS,0.0,0.0,0.3_30_102
0.3,30,102,Injection,1.0,0.0,0.3_30_102
0.3,30,102,Ip Spoofing,0.0,0.0,0.3_30_102
0.3,30,102,MITM,0.0,0.0,0.3_30_102
0.3,30,102,Manipulation,0.0,0.0,0.3_30_102
0.3,30,102,Regular,0.0,0.0,0.3_30_102
0.3,30,102,Replay,1.0,0.0,0.3_30_102
0.3,30,102,Unauth,0.0,0.0,0.3_30_102
0.3,30,102,Video,0.0,0.0,0.3_30_102
0.3,30,103,DoS,0.0,0.0,0.3_30_103
0.3,30,103,Injection,0.0,0.0,0.3_30_103
0.3,30,103,Ip Spoofing,0.0,0.0,0.3_30_103
0.3,30,103,MITM,0.0,0.0,0.3_30_103
0.3,30,103,Manipulation,1.0,0.0,0.3_30_103
0.3,30,103,Regular,0.0,0.0,0.3_30_103
0.3,30,103,Replay,1.0,0.0,0.3_30_103
0.3,30,103,Unauth,1.0,1.0,0.3_30_103
0.3,30,103,Video,1.0,0.0,0.3_30_103
1.0,10,101,DoS,0.0,0.0,1.0_10_101
1.0,10,101,Injection,0.0,0.0,1.0_10_101
1.0,10,101,Ip Spoofing,0.0,0.0,1.0_10_101
1.0,10,101,MITM,0.0,0.0,1.0_10_101
1.0,10,101,Manipulation,0.0,0.0,1.0_10_101
1.0,10,101,Regular,0.0,0.0,1.0_10_101
1.0,10,101,Replay,0.0,1.0,1.0_10_101
1.0,10,101,Unauth,0.0,0.0,1.0_10_101
1.0,10,101,Video,0.0,0.0,1.0_10_101
1.0,10,102,DoS,0.0,0.0,1.0_10_102
1.0,10,102,Injection,0.0,0.0,1.0_10_102
1.0,10,102,Ip Spoofing,0.0,0.0,1.0_10_102
1.0,10,102,MITM,0.0,0.0,1.0_10_102
1.0,10,102,Manipulation,0.0,1.0,1.0_10_102
1.0,10,102,Regular,0.0,0.0,1.0_10_102
1.0,10,102,Replay,0.0,0.0,1.0_10_102
1.0,10,102,Unauth,1.0,1.0,1.0_10_102
1.0,10,102,Video,0.0,0.0,1.0_10_102
1.0,10,103,DoS,0.0,0.0,1.0_10_103
1.0,10,103,Injection,0.0,0.0,1.0_10_103
1.0,10,103,Ip Spoofing,0.0,0.0,1.0_10_103
1.0,10,103,MITM,0.0,0.0,1.0_10_103
1.0,10,103,Manipulation,1.0,0.0,1.0_10_103
1.0,10,103,Regular,0.0,0.0,1.0_10_103
1.0,10,103,Replay,0.0,0.0,1.0_10_103
1.0,10,103,Unauth,0.0,1.0,1.0_10_103
1.0,10,103,Video,0.0,0.0,1.0_10_103
1.0,15,101,DoS,0.0,0.0,1.0_15_101
1.0,15,101,Injection,0.0,1.0,1.0_15_101
1.0,15,101,Ip Spoofing,0.0,0.0,1.0_15_101
1.0,15,101,MITM,0.0,0.0,1.0_15_101
1.0,15,101,Manipulation,1.0,1.0,1.0_15_101
1.0,15,101,Regular,0.0,0.0,1.0_15_101
1.0,15,101,Replay,0.0,0.0,1.0_15_101
1.0,15,101,Unauth,1.0,0.0,1.0_15_101
1.0,15,101,Video,0.0,0.0,1.0_15_101
1.0,15,102,DoS,0.0,0.0,1.0_15_102
1.0,15,102,Injection,0.0,0.0,1.0_15_102
1.0,15,102,Ip Spoofing,1.0,0.0,1.0_15_102
1.0,15,102,MITM,0.0,0.0,1.0_15_102
1.0,15,102,Manipulation,1.0,1.0,1.0_15_102
1.0,15,102,Regular,0.0,0.0,1.0_15_102
1.0,15,102,Replay,0.0,0.0,1.0_15_102
1.0,15,102,Unauth,0.0,0.0,1.0_15_102
1.0,15,102,Video,0.0,0.0,1.0_15_102
1.0,15,103,DoS,0.0,0.0,1.0_15_103
1.0,15,103,Injection,0.0,0.0,1.0_15_103
1.0,15,103,Ip Spoofing,1.0,0.0,1.0_15_103
1.0,15,103,MITM,0.0,0.0,1.0_15_103
1.0,15,103,Manipulation,0.0,0.0,1.0_15_103
1.0,15,103,Regular,0.0,0.0,1.0_15_103
1.0,15,103,Replay,0.0,1.0,1.0_15_103
1.0,15,103,Unauth,0.0,0.0,1.0_15_103
1.0,15,103,Video,0.0,0.0,1.0_15_103
1.0,30,101,DoS,0.0,0.0,1.0_30_101
1.0,30,101,Injection,1.0,1.0,1.0_30_101
1.0,30,101,Ip Spoofing,0.0,0.0,1.0_30_101
1.0,30,101,MITM,0.0,0.0,1.0_30_101
1.0,30,101,Manipulation,1.0,0.0,1.0_30_101
1.0,30,101,Regular,0.0,0.0,1.0_30_101
1.0,30,101,Replay,0.0,0.0,1.0_30_101
1.0,30,101,Unauth,0.0,0.0,1.0_30_101
1.0,30,101,Video,1.0,0.0,1.0_30_101
1.0,30,102,DoS,0.0,0.0,1.0_30_102
1.0,30,102,Injection,0.0,0.0,1.0_30_102
1.0,30,102,Ip Spoofing,0.0,0.0,1.0_30_102
1.0,30,102,MITM,0.0,0.0,1.0_30_102
1.0,30,102,Manipulation,1.0,0.0,1.0_30_102
1.0,30,102,Regular,0.0,0.0,1.0_30_102
1.0,30,102,Replay,0.0,1.0,1.0_30_102
1.0,30,102,Unauth,1.0,0.0,1.0_30_102
1.0,30,102,Video,0.0,0.0,1.0_30_102
1.0,30,103,DoS,0.0,0.0,1.0_30_103
1.0,30,103,Injection,0.0,0.0,1.0_30_103
1.0,30,103,Ip Spoofing,1.0,0.0,1.0_30_103
1.0,30,103,MITM,0.0,0.0,1.0_30_103
1.0,30,103,Manipulation,0.0,1.0,1.0_30_103
1.0,30,103,Regular,0.0,0.0,1.0_30_103
1.0,30,103,Replay,1.0,0.0,1.0_30_103
1.0,30,103,Unauth,0.0,0.0,1.0_30_103
1.0,30,103,Video,0.0,0.0,1.0_30_103
